contactid,title,description,overrideurl,affinity,clustergroup,ogname,ogtexthead,ogtitle1,ogtag1,ogurl1,ogtitle2,ogtag2,ogurl2,ogmoreinfo,ogmoreinfourltitle,ogmoreinfourltag,ogmoreinfourl,telephonename,phonetexthead,phoneopenhours,telephone,telephonename2,phonetexthead2,phoneopenhours2,telephone2,textphone,international,fax,phonemoreinfo,phonemoreinfourltitle,phonemoreinfourltag,phonemoreinfourl,emailtexthead,emailtitle1,emailtag1,emailaddress1,emailurl1,emailtitle2,emailtag2,emailaddress2,emailurl2,emailmoreinfo,emailmoreinfourltitle,emailmoreinfourltag,emailmoreinfourl,postname,posttexthead,posttag1,postaddress1,posttag2,postaddress2,posttag3,postaddress3,postmoreinfo,postmoreinfourltitle,postmoreinfourltag,postmoreinfourl,keywords,alt_meta_title,alt_meta_description,alt_meta_keywords,entrysource,externalid,lastupdated
52,"Self Assessment
Tax return enquiries",For advice completing your Self Assessment tax return and general advice about Self Assessment,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Completing your tax return (individuals and directors),"Information you'll need to complete your tax return, key steps, common mistakes, where to get help",http://www.hmrc.gov.uk/sa/complete-tax-return.htm,Tax return corrections and repayment claims,"How to correct a mistake or make an amendment on a tax return, how to claim a tax refund or correct an underpayment or overpayment",http://www.hmrc.gov.uk/sa/correct-repay.htm,,,,,Self Assessment Helpline,"Help and advice for customers completing their tax return and supplementary pages, or who need general advice about Self Assessment
Please have your Unique Taxpayer Reference number with you when you phone","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Year's Day",0300 200 3310,,,,,0300 200 3319,+44 161 931 9070,,,,,,,,,,,,,,,,,,,,,,,,,,,"You can write to HMRC by using the postal address on the most recent correspondence from us.  

If you don't have recent correspondence from us then write to:

HM Revenue & Customs
Self Assessment
PO Box 4000
Cardiff
CF14 8HR

If you want to complain to HMRC about the service you have received in relation to Self Assessment, please clearly mark your letter as a complaint so we can direct it to a complaints handler quickly.",,,,,,,,enquiry,OILdX1VAnlM,14/06/2013 07:38:13
53,"Payment enquiry helpline
PAYE and Self Assessment payment enquiries
Self Assessment and PAYE payment enquiries",For advice on what payment methods can be used for Self Assessment and PAYE tax payments,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers",Tax,,,Paying HMRC,"Find out more about making a payment and what to do if you can't pay your Self Assessment, PAYE, Class 1 National Insurance or CIS.",http://www.hmrc.gov.uk/payinghmrc/,,,,,,,,"Paying HMRC Helpline (Self Assessment, PAYE and CIS Payment Enquiries)","For information and help on which payment method to use.
Please note we cannot take payments over the phone.","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday
Closed Sundays and bank holidays

Please have your Accounts Office reference or Unique Tax Reference (UTR) to hand when calling.",0845 366 7816,Online Debit and Credit Card Payments - BillPay Helpline,"For help with BillPay error messages and to trace and confirm online debit and credit card payments. 
Please note we cannot take payments over the phone.","8.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3601,,,,"If you're a Self Assessment taxpayer and experiencing payment difficulties, you should contact the Self Assessment Payment Helpline, using the link below.",Self Assessment Payment Helpline.,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx1=&amp;tx0=49666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,18zIx_slIbs,28/06/2013 09:19:09
54,"Self Assessment Payment Helpline
Payment help for Self Assessment","If you need more time to pay, please contact us as soon as you receive your Self Assessment statement",,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,What to do if you can't pay your Self Assessment tax bill,Who to contact if you can't pay your tax bill on time and how to make arrangements to pay by instalments or pay late,http://www.hmrc.gov.uk/sa/not-pay-tax-bill.htm,,,,,,,,Self Assessment Payment Helpline,"If you're experiencing payment difficulties and need more time to pay, please contact us as soon as you receive your Self Assessment statement.","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday  
Closed Sundays, Christmas Day, Boxing Day & New Years Day",0845 366 1204,,,,,,+44 12 7420 4880,,"Calls will only be accepted on this number for customer's who are resident abroad. 

For all other taxes or debts, or if you have already been contacted by your local debt management office you should refer to the contact details on the latest communication you have received from us.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,6R6F-jCXllU,31/05/2013 14:58:26
55,"Shares and assets valuation enquiries
Assets and share valuation enquiries",For enquiries relating to the valuation of unquoted shares and other assets,,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,An introduction to shares and asset valuation,,http://www.hmrc.gov.uk/shareschemes/shares-valuation.htm,,,,,,,,Shares and Assets Valuation enquiry line,"This enquiry line assists with the valuation, for tax purposes, of unquoted shares (shares of companies which are not quoted, listed or traded on the stock exchange), intangible assets (intellectual property, trademarks, patents, goodwill etc), foreign shares, bloodstock, chattels, foreign residential property, boats, aircraft and a whole range of other assets.","8.00 am to 4.00 pm Monday to Friday
Closed weekends and bank holidays",0845 601 5693,,,,,,,0115 974 2197,This enquiry line cannot give advice on any tax matters.,,,,,,,,,,,,,,,,,Shares and Assets Valuation written enquiries,,,"Ferrers House 
PO Box 38
Castle Meadow Road
Nottingham
NG2 1BB",,,,,We cannot give advice on any tax matters.,,,,,,,,enquiry,Nko-PyClqx8,31/05/2013 14:58:26
56,Stamp Duty Land Tax enquiries,"For enquiries relating to stamp taxes payable on land, property and shares",,"individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Stamp Duty Land Tax (SDLT) : the basics,"Understanding Stamp Duty Land Tax, when it's payable and how it's calculated",http://www.hmrc.gov.uk/sdlt/intro/basics.htm,Using Stamp Taxes Online to file your return,Filing SDLT returns using the HMRC's Stamp Taxes Online service,http://www.hmrc.gov.uk/sdlt/return/online.htm,,,,,Stamp Taxes Helpline,"For enquiries relating to stamp taxes payable on the purchase of land, property and shares or on the leasing of land and property","8.30 am to 5.00 pm Monday to Friday
Closed weekends and bank holidays",0845 603 0135,,,,,,+44 1726 209 042,03000 570 316,You may want to call between 12.00 pm and 2.00 pm when we are generally less busy. For enquiries relating to a specific form SDLT1 please have the Unique Taxpayer Reference number available.,For technical help using the online service contact the Online Service Helpdesk,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?ha=34&amp;tx0=49669&amp;fl0=__dsid:&amp;tx1=2040&amp;raction=view,,,,,,,,,,,,,,Writing to HMRC about Stamp Duty Land Tax,,,"Use the address below if you're writing to HMRC about anything to do with Stamp Duty Land Tax but if you want to send a paper return or cheque follow the link at the end of the section. 

Birmingham Stamp Office 
9th Floor 
City Centre House
30 Union Street 
Birmingham
B2 4AR 

DX: 15001 Birmingham 1",,,,,You should not send any cheques or paper returns to the Birmingham address.,Address to send cheques and returns,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?sr=0&amp;as=1&amp;cs=ISO-8859-1&amp;sc=hmrc&amp;sf=&amp;sm=0&amp;nh=50&amp;ha=34&amp;tx0=49670&amp;fl0=__dsid:&amp;tx1=2040&amp;raction=view,,,,,enquiry,6hAFOpcmkio,31/05/2013 14:58:26
57,"Stamp Taxes Online Services Helpdesk
Online Services Helpdesk - Stamp Duty",Technical help and assistance filing returns online,,businesses & corporations > All businesses,Tax,,,Introduction to the Stamp Taxes Online Service,,http://www.hmrc.gov.uk/so/online/menu.htm,,,,,,,,Stamp Duty Online Services Helpdesk,If you need technical help using the online service please call the Online Services Helpdesk,"8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Year?s Day",0300 200 3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,R1_5ktbkW1U,31/05/2013 14:58:26
58,Stamp Duty Land Tax payment and returns,"For posting payments, returns and writing to us",,businesses & corporations > All businesses,Tax,,,Stamp Duty Land Tax,Information about Stamp Duty Land Tax and when it is payable,http://www.hmrc.gov.uk/sdlt/index.htm,How to pay Stamp Taxes,For information on payment options,http://www.hmrc.gov.uk/so/how-to-pay.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stamp Duty Land Tax paper returns and cheques,"HM Revenue & Customs Stamp Taxes 
Comben House 
Farriers Way
Netherton
L30 4RN 

DX: Rapid Data Capture Centre 
DX 725593 Bootle 9 

If you are sending a payment remember to write your UTRN as shown on your land transaction return on the front of the cheque. 

If you are sending a cheque that covers payment for more than one UTRN please itemise each UTRN against each amount on the back of the cheque.",Writing to HMRC about SDLT,"Use the address below if you're writing to HMRC about anything else to do with Stamp Duty Land Tax. 

Birmingham Stamp Office 
9th Floor 
City Centre House
30 Union Street 
Birmingham
B2 4AR

Please mark your letter 'SDLT' and the subject you are writing about and include any reference number. 

DX: 15001 Birmingham 1

General fax: 03000 570316",,,,Stamp Taxes Helpline,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?sr=0&amp;as=1&amp;cs=ISO-8859-1&amp;sc=hmrc&amp;sf=&amp;sm=0&amp;nh=50&amp;ha=34&amp;tx0=49668&amp;fl0=__dsid:&amp;tx1=2040&amp;raction=view,,,,,enquiry,kqxFh--ZyGo,31/05/2013 14:58:26
59,Tariff Classification Service,For advice about classification issues,,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses","VAT, Customs, Excise duties",,,Check the classification information on the GOV.UK website,On the GOV.UK website you can use the UK Trade Tariff tool to help find commodity codes to classify goods for import and export.,https://www.gov.uk/trade-tariff,,,,,,,,Tariff Classification Advice Line,Call the Tariff Classification Advice Line for advice about complex classification issues,"9.00 am to 5.00 pm Monday to Friday
Closed weekends and bank holidays",01702 366 077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,9N1or7KE9dc,31/05/2013 14:58:27
60,"Tax credits enquiries
Child Tax Credit enquiries
Working Tax Credit enquiries",For general information about tax credits,,"individuals & employees > Self-employed
individuals & employees > Bereavement
individuals & employees > All individuals",Tax credits and other benefits,,,Changes that might affect your tax credits,"Why, when and how you need to report a change and what happens if you don't",http://www.hmrc.gov.uk/taxcredits/keep-up-to-date/changes-affect/index.htm,Where's My Reply?,When you can expect a reply after contacting HMRC - includes some common tax credits queries,http://www.hmrc.gov.uk/tools/progress-tool/index.htm,,,,,Tax Credit Helpline,For general information about tax credits,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day and New Year's Day",0345 300 3900,,,,,0345 300 3909,+44 2890 538 192,,"When you contact us please have your National Insurance number to hand.

If you suspect someone of committing tax credit / benefit fraud you can report them online to the Department of Work and Pensions (DWP). Follow the link below to report a benefit thief.",Report a benefit thief online on the DWP website,,https://secure.dwp.gov.uk/benefitfraud/,,,,,,,,,,,,,,Tax credits written enquiries,,,"Tax Credit Office
Preston
PR1 4AT",,,,,"It helps if you can give your telephone number in your letter. If you're writing about a change of circumstance, please mark your envelope 'change of circumstances'.",,,,,HMRC Contact us Tax Credits Number,HMRC Contact us Tax Credits Number,Tax Credits Number,enquiry,TC_tM5uswa0,10/07/2013 11:51:59
61,"Tax enquiries for crown servants abroad
Crown servants abroad",General enquiries for crown servants living abroad,,individuals & employees > All individuals,Tax,,,,,,,,,,,,,Crown Servants Abroad Helpline,"For Income Tax and Capital Gains Tax enquiries from customers who are employed by the Crown, for example civil servants, armed forces, and diplomats, and who are living abroad","8.00 am to 5.00 pm Monday to Friday
Closed weekends and bank holidays",+44 2920 325 048,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,enquiry,Yl2NGUEzDWE,31/05/2013 14:58:26
62,"Income Tax and Capital Gains Tax enquiries for non-UK residents
Non-UK residents Income Tax and Capital Gains Tax enquiries
Residency - Income Tax and Capital Gains Tax enquiries for those not resident in the UK",Tax enquiries from people who live or work abroad,,individuals & employees > All individuals,Tax,,,Tax and National Insurance information for non-UK residents,"Find out about about tax, National Insurance and how 'residence' and 'domicile' might affect your UK tax",http://www.hmrc.gov.uk/international/personal.htm,,,,,,,,Tax enquiries for non-UK residents,This helpline answers queries regarding Income Tax and Capital Gains Tax for customers who live or work abroad,"8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday
Closed Sundays and bank holidays",0300 200 3300,,,,,,+44 135 535 9022,,,,,,A first point of contact for anyone not resident in the UK but who has income from a UK source or who pays UK National Insurance contributions,Email enquiries for non-UK residents,,,http://www.hmrc.gov.uk/cnr/email.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Following the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,h40mW9YbrhU,24/06/2013 09:38:59
63,"Reporting Tax Evasion
Evasion of tax hotline
Tax fraud hotline
Reporting tax fraud
Fraud reporting - Income Tax",A confidential phone line for you to report somebody who is not paying their fair share of tax,,"individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers",See also,,,,,,,,,,,,,Tax Evasion Hotline,"A confidential phone line for you to report somebody who is not paying their fair share of tax. 

This telephone number ONLY deals with tax evasion reporting. It does not deal with questions about taxes, duty or benefits, including tax credits.","8.00 am to 6.00 pm Monday to Friday (If you call before 9.00 am your call may be answered more quickly)   
Closed Saturday, Sunday and bank holidays",0800 788 887,,,,,0845 915 3296,,0800 783 0879,"If you prefer to speak to us in Welsh, please follow the link below to the Welsh language helplines.",Welsh language helplines,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=contactid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx0=71,,Tax Evasion Hotline,Make a report online,,https://online.hmrc.gov.uk/shortforms/form/TEH_IRF?dept-name=TEH&sub-dept-name=&location=39&origin=http://www.hmrc.gov.uk,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,You can write to us at the following Freepost address:,"HM Revenue and Customs  
Freepost NAT22785
Cardiff
CF14 5GX",,,,,,,,,,,,,enquiry,tRNNy6edopA,31/05/2013 14:58:24
64,Large Business Service,"Responsible for the tax affairs of the largest UK companies, employers and partnerships",,businesses & corporations > All businesses,Tax,,,Large Business Service,"Find out more about Large Business Service, how they approach large businesses and who gets a Customer Relationship Manager",http://www.hmrc.gov.uk/large-businesses/index.htm,Large Business Service - who to contact,"Find out contacts for businesses overseen by Large Business Service, general enquiries and how to send an email",http://www.hmrc.gov.uk/large-businesses/contacts.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,gyX6MK1zMrY,31/05/2013 14:58:26
65,"Customs, Excise and VAT fraud reporting
Fraud reporting - VAT and customs
Customs Hotline - reporting Customs, Excise and VAT fraud
VAT and Customs fraud reporting
Smuggling and tax fraud","Contact the Customs Hotline to report all types of smuggling, customs, excise and VAT fraud",,"individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers","VAT, Customs, Excise duties",,,Banned or restricted goods,"What goods are banned or require a licence such as firearms, rules on restricted goods such as fruit, vegetables and seeds",http://www.hmrc.gov.uk/customs/banned-restricted.htm,,,,,,,,Customs Hotline,"You can call the customs hotline about the following:
- cigarettes and tobacco 
- alcohol
- cash
- hydrocarbon oils 
- drugs 
- guns and explosives 
- military equipment
- weapons of mass destruction or the parts used to make them 
- obscene or indecent material - including child pornography 
- meat and other types of food 
- endangered and protected species including animals, birds, fish, reptiles, plants, coral and items made from them 
- expensive goods like works of art, antiques, gold and jewellery 
- counterfeit, or fake, goods 
- dangerous substances, like poisons 
- money products like shares and securities   

People also try to avoid paying the following excise duties and taxes: 

- Money Laundering Regulations - suspicious transactions  
- Environmental taxes - Landfill Tax, Aggregates Levy and Climate Change Levy
- Transport taxes - hydrocarbon oils and Air Passenger Duty 
- Betting and gaming duty 
- Excise duties - including the illegal use of rebated 'red' diesel 
- Insurance Premium Tax (IPT) 
- VAT - including Missing Trader Intra Community - also known as carousel fraud

This telephone number ONLY deals with customs, excise and VAT fraud reporting. It does not deal with questions about taxes, duty or benefits, including tax credits.","24 hours a day, seven days a week",0800 595 000,,,,,,"If calling from Belgium, Denmark, France, Germany, Republic of Ireland, Netherlands: 00800 555 95000
If calling from mainland Spain: 900 988 922",0800 528 0506,,,,,"Email us to report suspicious activity in relation to smuggling, customs, excise and VAT fraud",,,,,Customs Hotline,,,http://www.hmrc.gov.uk/customs-hotline/,"Submitting information to us directly by using the special forms on our website, your message is secure. Please be aware that information sent by email over the internet is not secure and may be at risk of being of being intercepted and read by people other than those it was intended for.

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,"Write to the Customs Hotline Freepost address to report all types of smuggling, customs, excise and VAT fraud","HM Revenue & Customs 
Freepost NAT22785
CARDIFF
CF14 5GX",,,,,,,,,,,,,enquiry,k9zpyaj9_go,31/05/2013 14:58:24
66,"VAT Online Services Helpdesk
Online Services Helpdesk - VAT
Helpdesk for VAT online","For help using the VAT online facilities - including submitting your VAT Returns, changing your registration details, EU Refunds, submitting EC Sales Lists and Reverse Charge Sales Lists",,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > Charities & CASCs
businesses & corporations > All businesses
employers > All employers","VAT, Customs, Excise duties",,,How to sign up to use VAT online services,A guide to the Online Services registration and enrollment process,http://www.hmrc.gov.uk/vat/start/register/signup-online.htm,How to submit your VAT Return online,An overview of the different ways to submit your VAT Return online,http://www.hmrc.gov.uk/vat/vat-online/submit.htm,,Service availability,,http://customs.hmrc.gov.uk/channelsPortalWebApp/channelsPortalWebApp.portal?_nfpb=true&_pageLabel=pageOnlineServices_ShowContent&propertyType=document&id=HMCE_MIG_009921,VAT Online Services Helpdesk,"For help using the VAT online facilities including:
- registering for VAT
- submitting your VAT Returns
- changing your VAT registration details
- EU Refunds
- submitting EC Sales Lists and Reverse Charge Sales Lists
Also, if you need information about the ?known facts? required to enrol for VAT Online services.","8.00am to 6.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3701,,,,,0300 200 3719,+44 2920 501 261,,,,,,,Email HMRC for your EDR,Request a reminder of your VAT Effective Date of Registration (EDR),,https://online.hmrc.gov.uk/shortforms/form/OSHVATEDR?dept-name=&sub-dept-name=&location=47&origin=http://www.hmrc.gov.uk,VAT Online Services Helpdesk - email a question,Email a question relating to one of the following online services:,,https://online.hmrc.gov.uk/shortforms/form/OSHVAT?dept-name=&sub-dept-name=&location=47&origin=http://www.hmrc.gov.uk,"- registering for VAT
- submit VAT Returns
- change registration details
- EU refunds
- EC Sales List (ECSL) 
- Reserve Charge Sales List (RCSL) 
- Agents: Online Agent Authorisation, VAT for Agents
- Alcohol and Tobacco Warehousing Declarations (ATWD) 

To send a question about one of these online services you will need to include an email address along with a contact name. You will also need your VAT registration number or the postcode of your main place of business and the name and details of the online service that your question relates to. If you are emailing about the ATWD service you will need to include your Warehouse ID.  

By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,Oi4SQxdhEaQ,12/06/2013 09:25:59
67,VAT enquiries,For information and advice about VAT,,"individuals & employees > Self-employed
individuals & employees > Bereavement
individuals & employees > All individuals
businesses & corporations > All businesses","VAT, Customs, Excise duties",,,How to sign up to use VAT online services,A guide to the online services registration and enrollment process,http://www.hmrc.gov.uk/vat/start/register/signup-online.htm,"Payment problems, assessments, penalties and appeals","Guidance on getting help if you can't pay, what to do if you receive a penalty, and how to appeal against VAT decisions",http://www.hmrc.gov.uk/vat/managing/problems/pay-probs/index.htm,,How to pay VAT,,http://www.hmrc.gov.uk/payinghmrc/vat.htm,VAT Helpline,"If you can't find the answer to your question on the HMRC website, the quickest and easiest way is to ring the VAT helpline where you can get the most of your VAT questions answered. Before you ring, make sure you have your VAT registration number and postcode to hand. If you're not VAT registered you'll need your postcode.

Please note that the VAT Helpline cannot agree time to pay, or take payments over the phone. To find out more about paying HMRC VAT, follow the link 'How to pay VAT' in the Check our website section above.","8.00 am to 6.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3700,,,,,0300 200 3719,+44 2920 501 261,,"If you need help with a technical problem with VAT online services, you can telephone 0300 200 3701. You can also use this number if you need information about the ?known facts? required to enrol for VAT Online services.

If you have a question about VAT relief for disabled and older people you can call the helpline by following the link below.",Helpline for VAT relief for disabled and older people,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx1=&amp;tx0=49691,,Questions about VAT,You can email a question about VAT - find out how and where to email,,http://www.hmrc.gov.uk/vat/managing/problems/getting-answers.htm,Questions about VAT online services,You can email a question relating to one of the following online services:,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&fl0=__dsid%3A&sm=0&ha=34&as=1&sf=&sp_scope=hmrc&sc=hmrc&nh=10&sr=0&cs=ISO-8859-1&tx1=&tx0=49684,"-VAT: Submit VAT Returns, request your Effective Date of Registration, Change Registration Details, EU Refunds, EC Sales List (ECSL), Reverse Charge Sales List (RCSL)
-Agents: Online Agent Authorisation, VAT for Agents 
-Alcohol and Tobacco Warehousing Declarations (ATWD)   

By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,Writing to HMRC about VAT,Where possible HMRC strongly recommends that you submit your questions about VAT by email. HMRC can reply to your question more quickly this way. Only particularly long questions or those where you need to attach something should be sent by post.,,,,,,,,Questions about VAT,This guide contains information about how and where to write to HMRC if you have questions about VAT. It also includes a check list of things you'll need to tell HMRC when you write to them.,http://www.hmrc.gov.uk/vat/managing/problems/getting-answers.htm,,,,,enquiry,dMVkEC6liWE,12/06/2013 09:06:20
68,"Feedback
Website and online services feedback
Online services and website feedback",Tell us what you think of our website and online services,http://www.hmrc.gov.uk/comment/index.htm,,See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,w9K_Khceuqg,31/05/2013 14:58:24
69,"Newly Self-Employed Helpline
Self-Employed Helpline for the newly self-employed","To register for self-employed National Insurance, tax and VAT",,"individuals & employees > Self-employed
individuals & employees > All individuals
businesses & corporations > All businesses",Tax,,,Tax and National Insurance for the self-employed,"How to register with HMRC when you start a business, basic information on Self-Assessment, National Insurance, VAT and record keeping",http://www.hmrc.gov.uk/working/intro/selfemployed.htm,,,,,,,,Newly Self-Employed Helpline,"This helpline enables you to register for National Insurance, tax and VAT. They will also arrange for you to attend a free workshop with one of our Business Education and Support Teams to help you get started.

The helpline can't provide you with an Unique Tax reference number. You will find it on any Self Assessment letters or you will need to contact your HMRC Office by following the Contact us link below.","8.00 am to 8.00 pm, Monday to Friday
8.00 am to 4.00 pm Saturday 
Closed Sundays and bank holidays",0300 200 3504,,,,,0845 915 3296,,,,Contact us,,http://search2.hmrc.gov.uk/kb5/hmrc/contactus/view.page?record=fPCm_2Cccl0,Use the HM Revenue & Customs (HMRC) email service,Tell HMRC about a change of name or address,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,1JNuf06zzrM,13/06/2013 08:03:24
70,"Pensions Helpline - Contracted Out
Contracted Out Pensions enquiries","Advice and assistance for pension providers, pension scheme administrators and individuals contracting out of the Second State Pension",,"individuals & employees > All individuals
businesses & corporations > All businesses
businesses & corporations > Pension schemes",National Insurance,,,,,,,,,,,,,Contracted Out Pensions Helpline,"Advice and assistance for individuals, pension providers and pension scheme administrations regarding contracting out of the Second State Pension into occupational pensions, personal pensions and stakeholder pension schemes.","8.30 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0300 200 3507,,,,,0845 915 3296,,,"We cannot offer advice or assistance with State Pension entitlement including State Earnings Related Pension Scheme, State Second Pension, entitlement to pension compensation, pension forecasts, provide guaranteed minimum pension figures over the telephone or offer personal financial advice.

If your query is about National Insurance contributions for individuals please contact National Insurance Helpline for individuals by following the link below.",National Insurance Helpline for individuals,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx1=&amp;tx0=49620,Use the HM Revenue & Customs (HMRC) email service,Tell HMRC about a change of name or address,,,http://www.hmrc.gov.uk/individuals/change-of-circs.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,a_IQl07t4fs,13/06/2013 08:06:46
